nit/cc distribuidor;nombre distribuidor;calidad del servicio;variable tecnica;eficiencia operativa;participacion y compromiso;resultado prestador
4dc4b2f6ba;868bf92fd9;100,00 %;42,90 %;40,19 %;0,00 %;53,12 %
9614c0d27c;fd47f27bdd;100,00 %;9,31 %;38,54 %;0,00 %;43,57 %
98167a8414;9fbb3eb6f8;100,00 %;27,93 %;39,58 %;0,00 %;48,91 %
5dafe56604;930bc3317c;96,18 %;71,98 %;40,56 %;100,00 %;66,80 %
a62e125e18;fc81117d1d;100,00 %;18,62 %;42,14 %;0,00 %;47,53 %
f884c1eb24;54de66f1cf;96,55 %;18,62 %;42,08 %;;46,64 %
2dd33539ad;a405ab4085;94,55 %;74,36 %;41,00 %;100,00 %;67,21 %
11f859259a;7d38998939;100,00 %;74,58 %;39,58 %;60,00 %;65,30 %
d0669d8354;c25d087c81;97,27 %;27,93 %;38,98 %;0,00 %;47,98 %
eaea9ca8c2;89211c3494;100,00 %;27,93 %;39,58 %;0,00 %;48,91 %
533d84543c;93c10beedc;97,27 %;80,82 %;41,29 %;90,00 %;69,03 %
b0badad449;5d87b0c16b;100,00 %;80,31 %;40,13 %;100,00 %;69,77 %
b7bd310af1;5551011cfb;100,00 %;79,49 %;42,42 %;100,00 %;70,52 %
f873ebe449;fb4cc6994a;100,00 %;80,31 %;40,47 %;30,00 %;65,14 %
2108aab5ce;31c071d5b9;100,00 %;79,95 %;42,26 %;;63,75 %
c648e9c881;f41bf53aa0;100,00 %;0,00 %;35,50 %;60,00 %;43,94 %
d65a66b589;eaccd1b5fa;100,00 %;27,93 %;45,01 %;0,00 %;51,19 %
3fddbd584a;3337daaf6f;97,27 %;70,20 %;41,69 %;60,00 %;64,35 %
71813ed62b;06cca91574;100,00 %;46,55 %;41,50 %;0,00 %;54,63 %
3e16400d56;fe26a22cd7;100,00 %;18,62 %;38,67 %;60,00 %;50,17 %
44f83ec371;3b59b9e64e;91,09 %;64,80 %;40,19 %;60,00 %;60,75 %
59d8d61591;bda0db11d5;100,00 %;27,93 %;39,35 %;60,00 %;52,91 %
fd4c6e8fd9;882f014c15;100,00 %;18,62 %;41,45 %;90,00 %;53,38 %
ffbdf3d16c;6dd6dbf90b;100,00 %;74,43 %;40,03 %;80,00 %;66,81 %
85cd666c24;6dce203359;93,82 %;27,93 %;38,35 %;80,00 %;52,31 %
ebef1a32fb;e454952170;97,27 %;76,87 %;42,69 %;60,00 %;66,53 %
c884fb189a;ff913f84ab;100,00 %;27,93 %;39,72 %;;48,97 %
484e58e4ef;36e8b3e9ce;100,00 %;18,62 %;40,79 %;60,00 %;51,06 %
cb14f02271;f10ea83bae;100,00 %;18,62 %;42,44 %;80,00 %;53,11 %
6267dab9fd;4f25374294;100,00 %;27,93 %;40,54 %;60,00 %;53,41 %
558c80ca71;bec58a3211;100,00 %;18,62 %;40,45 %;60,00 %;50,92 %
d9bc9be1ea;0b3ebfe902;100,00 %;0,00 %;39,67 %;0,00 %;41,59 %
c01a9d5020;715f69d5e4;89,09 %;69,50 %;41,95 %;100,00 %;64,96 %
a8dd1d5a56;2c8156ebd8;100,00 %;27,93 %;39,05 %;0,00 %;48,69 %
8fc0df0b52;7d901dcb0c;100,00 %;27,93 %;37,40 %;0,00 %;48,00 %
e303a95978;0ab0ee23e4;100,00 %;80,04 %;40,01 %;60,00 %;66,92 %
0cfe179c9b;b762407a6a;100,00 %;27,93 %;40,69 %;0,00 %;49,38 %
05c41b8cff;7141cfa8e1;100,00 %;61,16 %;36,78 %;30,00 %;58,55 %
f0171b2ada;0d257a2bcb;75,82 %;75,14 %;40,29 %;60,00 %;59,70 %
13025a6c92;415b90e8a2;100,00 %;27,93 %;36,82 %;30,00 %;49,81 %
db02eff5f0;3d9878b6e9;90,73 %;75,77 %;41,72 %;80,00 %;65,56 %
00a923927a;2be5ab5db5;100,00 %;72,07 %;37,77 %;80,00 %;65,25 %
6301c18ba0;39264871b6;100,00 %;18,62 %;41,32 %;0,00 %;47,19 %
bef0e7d4e2;e199546c10;80,91 %;74,43 %;40,80 %;100,00 %;63,73 %
57e0eb48c8;569b03d21e;100,00 %;27,93 %;39,58 %;0,00 %;48,91 %
612241b8cb;52e0723ef0;100,00 %;56,58 %;39,19 %;80,00 %;61,76 %
d454f55cec;d1e141786c;100,00 %;9,31 %;38,15 %;0,00 %;43,41 %
160679e07e;77ec7eab0b;100,00 %;0,00 %;42,29 %;0,00 %;42,69 %
0360bf7b22;527845a30a;100,00 %;27,93 %;41,00 %;60,00 %;53,60 %
8bd18875df;880bbb904b;100,00 %;49,62 %;40,89 %;90,00 %;61,32 %
fcaeaeefb3;b0aecc12e6;100,00 %;62,76 %;39,86 %;100,00 %;65,03 %
9950bb6e99;8b69deb93f;100,00 %;18,62 %;40,25 %;0,00 %;46,74 %
4757098dde;5d6d33283d;100,00 %;0,00 %;39,58 %;30,00 %;43,60 %
f24fe3376b;9f3c1d9100;100,00 %;0,00 %;35,98 %;60,00 %;44,14 %
583e08aac0;d93781d430;100,00 %;0,00 %;37,76 %;0,00 %;40,79 %
13478c1aee;8ff1312a07;100,00 %;18,62 %;41,42 %;30,00 %;49,28 %
9574ee5fda;d234984cc6;100,00 %;18,62 %;40,57 %;80,00 %;52,33 %
b839ae5157;910f5b6359;100,00 %;0,00 %;42,59 %;60,00 %;46,90 %
d64b060995;970782d224;100,00 %;18,62 %;41,06 %;30,00 %;49,12 %
31f71c3f4f;2fbc1bd473;100,00 %;27,93 %;41,82 %;80,00 %;55,31 %
6b31a681fb;cae36dee52;100,00 %;0,00 %;41,67 %;0,00 %;42,42 %
0f0a7d2849;a4255e8261;100,00 %;0,00 %;36,31 %;0,00 %;40,19 %
9a3ca06aac;ca723880e4;100,00 %;71,00 %;42,96 %;60,00 %;65,77 %
f0123a2f47;4ba513b48f;100,00 %;18,62 %;38,39 %;0,00 %;45,96 %
277d4f11f8;35ee1a42f9;100,00 %;18,62 %;37,40 %;0,00 %;45,55 %
4d43128369;2bfb529073;100,00 %;18,62 %;38,57 %;0,00 %;46,04 %
57da0d1458;aece40b7c4;100,00 %;27,93 %;43,57 %;;50,58 %
168ab2c338;61840522db;100,00 %;0,00 %;40,66 %;0,00 %;42,00 %
8baf47f12f;7bf1b04c36;93,82 %;61,51 %;41,32 %;80,00 %;62,40 %
fc8cbcb031;221b819aa9;100,00 %;27,93 %;36,70 %;0,00 %;47,71 %
0d5a738fba;9d78c53ec5;100,00 %;27,93 %;41,02 %;0,00 %;49,52 %
ccf0616c52;75f65d5efd;97,27 %;80,52 %;40,54 %;;62,50 %
5104924f05;f636e2bb30;97,27 %;80,47 %;40,99 %;80,00 %;68,13 %
4984333df1;51e53baf46;100,00 %;0,00 %;40,74 %;30,00 %;44,08 %
4974c1a8e8;6d0a1c5be3;100,00 %;27,93 %;38,80 %;0,00 %;48,59 %
5286a108cb;2cc905a07f;100,00 %;54,66 %;40,75 %;30,00 %;58,50 %
032752d086;8eecac9b1e;100,00 %;69,42 %;41,66 %;100,00 %;67,54 %
b3a5afa282;c44e5f67e2;100,00 %;0,00 %;39,58 %;0,00 %;41,55 %
7d156e62bc;5dfa5266d7;96,55 %;77,73 %;40,39 %;0,00 %;61,52 %
526a3be1c6;9c291cb4ed;100,00 %;18,62 %;40,95 %;60,00 %;51,12 %
fb027c296d;dbb1ffb181;100,00 %;18,62 %;37,47 %;30,00 %;47,62 %
e290aaa845;ff154aae7a;100,00 %;9,31 %;42,84 %;0,00 %;45,37 %
ad17c69261;e2b59eea00;100,00 %;79,78 %;42,80 %;60,00 %;68,02 %
16a243e50c;e16fb8605b;100,00 %;18,62 %;38,72 %;0,00 %;46,10 %
5adfc692d1;d3764cdf6e;100,00 %;27,93 %;42,72 %;0,00 %;50,23 %
edabde51c5;4ebb7d326e;100,00 %;18,62 %;42,25 %;60,00 %;51,67 %
852f366b43;540ea4a002;100,00 %;70,37 %;40,03 %;80,00 %;65,75 %
49e07ab81c;fc3f85426e;100,00 %;0,00 %;34,85 %;0,00 %;39,57 %
667210d48a;4030bbbd2f;100,00 %;27,93 %;39,71 %;0,00 %;48,97 %
2a2d4b3199;fbb60ec9ad;100,00 %;78,44 %;39,38 %;0,00 %;62,14 %
9024048d8a;c11c6e459a;97,27 %;27,93 %;41,01 %;30,00 %;50,87 %
46b10ec11a;4cc941996a;100,00 %;27,93 %;40,66 %;80,00 %;54,82 %
c57c056799;ea400a0541;100,00 %;27,93 %;36,86 %;0,00 %;47,78 %
b6eabf4a74;a0f5e36fce;100,00 %;18,62 %;39,29 %;30,00 %;48,38 %
8fa2c5e0e0;087d02c7f5;100,00 %;68,32 %;39,06 %;60,00 %;63,43 %
e894dc1643;f1e6d5090a;100,00 %;18,62 %;40,93 %;0,00 %;47,03 %
c67633e411;ef928ccaa3;100,00 %;71,00 %;39,78 %;80,00 %;65,81 %
0a53c5f1a7;a931e856b4;100,00 %;27,93 %;40,96 %;0,00 %;49,49 %
d4b2f59841;44db7aa48f;100,00 %;81,38 %;40,25 %;80,00 %;68,74 %
7b83c5831a;deef68913f;100,00 %;0,00 %;40,27 %;0,00 %;41,84 %
5a47e5a9f3;75f42ab95a;100,00 %;73,36 %;43,61 %;30,00 %;64,62 %
d008806843;ec37cebcb9;100,00 %;50,74 %;39,96 %;30,00 %;57,13 %
cfe5357898;a2cfecd041;100,00 %;0,00 %;39,58 %;0,00 %;41,55 %
31efb70305;d26f6c5665;100,00 %;27,93 %;40,73 %;0,00 %;49,40 %
f62cac2fe5;a3aedfbe75;100,00 %;75,90 %;40,01 %;100,00 %;68,56 %
7967f1aeb8;643a19c535;100,00 %;0,00 %;36,43 %;30,00 %;42,28 %
232b41f507;41903e049f;100,00 %;65,77 %;41,61 %;0,00 %;59,74 %
f9884d8ffe;f73cc23e2d;100,00 %;9,31 %;40,56 %;60,00 %;48,51 %
d39fd7fed3;656c574f28;100,00 %;18,62 %;39,58 %;0,00 %;46,46 %
cc4c2ebd9d;bff3b8874e;97,27 %;73,74 %;41,65 %;90,00 %;67,31 %
4b4ec186e6;a693b0b43d;100,00 %;71,27 %;41,04 %;100,00 %;67,77 %
3d9df1e8db;26634a65ef;100,00 %;0,00 %;42,16 %;60,00 %;46,72 %
8c2dc094ae;822dbdc6b1;100,00 %;69,66 %;41,88 %;0,00 %;60,88 %
716a8d6e4c;0dd41a723a;94,55 %;59,47 %;40,97 %;100,00 %;63,26 %
4dd24c5777;84e6aeaabe;100,00 %;27,93 %;43,17 %;60,00 %;54,51 %
83989d5b4c;e33ebd4899;100,00 %;27,93 %;41,50 %;30,00 %;51,77 %
3b6f915e84;24336a1edc;100,00 %;9,31 %;41,86 %;60,00 %;49,05 %
83006edd5c;d9804378ae;100,00 %;18,62 %;41,67 %;90,00 %;53,47 %
2b4186e3a2;17a7700f90;100,00 %;79,70 %;41,13 %;60,00 %;67,30 %
aa53ef925f;d8f6b5b8f7;100,00 %;27,93 %;41,60 %;30,00 %;51,81 %
240ae130d6;21e847b4e0;93,46 %;77,80 %;42,04 %;;61,45 %
88ae7bddb3;ce14f7c0e8;100,00 %;27,93 %;40,21 %;0,00 %;49,18 %
2a54855450;102c60a4f1;100,00 %;18,62 %;34,32 %;0,00 %;44,26 %
5919118258;52b1147d44;100,00 %;77,37 %;38,24 %;60,00 %;65,48 %
aefb7d1010;00d6ac7794;75,82 %;18,62 %;37,47 %;30,00 %;41,58 %
44fca34d57;32591f6b12;100,00 %;0,00 %;42,59 %;0,00 %;42,81 %
2b230f30c5;94b8225e56;100,00 %;78,40 %;37,92 %;80,00 %;66,98 %
8d67f54e98;ecadc9f1ac;100,00 %;71,18 %;40,53 %;60,00 %;64,80 %
d887a3c31b;9caf44ce49;100,00 %;27,93 %;36,56 %;30,00 %;49,70 %
77fbef116d;bf19b502ae;100,00 %;0,00 %;39,08 %;0,00 %;41,34 %
11769dd9fc;cd46218466;100,00 %;27,93 %;40,94 %;80,00 %;54,94 %
99c1a2d555;060c4d711a;100,00 %;18,62 %;41,55 %;0,00 %;47,29 %
e30f096b1f;8ffd37e4f9;100,00 %;27,93 %;43,49 %;30,00 %;52,60 %
7b2e1a394a;468bf0b6fb;100,00 %;18,62 %;45,01 %;0,00 %;48,73 %
d4971a1c92;9d98d0db77;100,00 %;18,62 %;42,47 %;0,00 %;47,67 %
b2ecf80c55;056acbb7b5;100,00 %;27,93 %;39,05 %;80,00 %;54,15 %
726edbddde;b53bde202b;100,00 %;27,93 %;40,49 %;60,00 %;53,39 %
53aa3a2365;341ca59e1d;100,00 %;77,44 %;42,23 %;60,00 %;67,17 %
8d5024970c;e7a676329f;100,00 %;81,38 %;40,86 %;30,00 %;65,58 %
bba651f9b5;a5860d2894;100,00 %;27,93 %;40,98 %;0,00 %;49,50 %
e43189a25e;8b14f097b6;100,00 %;65,88 %;41,77 %;;59,83 %
cec4248a94;10a333b215;100,00 %;0,00 %;45,01 %;80,00 %;49,28 %
2e8ab55a05;76cc96bfd4;100,00 %;0,00 %;40,27 %;30,00 %;43,89 %
008b5754a9;70cabbfbc4;97,27 %;18,62 %;37,68 %;30,00 %;47,03 %
20f0cfcfde;cdb3fbc562;100,00 %;0,00 %;40,85 %;60,00 %;46,18 %
ecb9facc87;3d566c9dee;100,00 %;18,62 %;42,84 %;30,00 %;49,87 %
f54241414a;fccb4b900f;100,00 %;77,68 %;42,48 %;100,00 %;70,06 %
09ef8a8afa;6c6828bcb5;100,00 %;9,31 %;36,31 %;0,00 %;42,64 %
a8fbb0f19d;2b5a8b6159;100,00 %;27,93 %;38,28 %;100,00 %;55,19 %
d21d9bdf91;46a32b0d76;100,00 %;76,97 %;39,53 %;60,00 %;65,91 %
8be1e6cd50;b975490431;100,00 %;0,00 %;39,58 %;60,00 %;45,64 %
688a258895;143f487fd9;100,00 %;27,93 %;36,56 %;0,00 %;47,65 %
e74fff3b1d;39d95dd94d;100,00 %;18,62 %;40,22 %;0,00 %;46,73 %
286ad0e300;388ea5cd91;100,00 %;81,02 %;42,74 %;90,00 %;70,37 %
3bd42ac0e6;d705bc60ee;100,00 %;80,13 %;39,32 %;0,00 %;62,57 %
6c31a8b40e;3f89d47c54;100,00 %;54,39 %;40,42 %;90,00 %;62,38 %
070625d87f;a2647b5cc9;96,18 %;67,22 %;39,05 %;0,00 %;58,10 %
7c2ead843d;e011f94755;100,00 %;27,93 %;40,08 %;80,00 %;54,58 %
718cdfa267;55b0139e56;100,00 %;37,24 %;40,35 %;60,00 %;55,78 %
d66e3d0eba;41021a1309;96,55 %;80,85 %;39,24 %;60,00 %;65,95 %
a7b1326cf6;0d98cd6c60;100,00 %;0,00 %;41,17 %;30,00 %;44,26 %
af36eacc0d;a6da22da7d;100,00 %;79,78 %;41,45 %;100,00 %;70,18 %
28fe491f1a;cea9eb7585;96,18 %;71,91 %;41,49 %;100,00 %;67,17 %
d9b2a84afa;32dd01e18b;93,46 %;70,26 %;43,75 %;;60,18 %
d4b7431373;c5f1ee731a;100,00 %;80,31 %;38,75 %;30,00 %;64,42 %
7ba43a31c2;07372782be;100,00 %;81,38 %;40,67 %;60,00 %;67,55 %
0f865f8395;cc1752cedb;100,00 %;27,93 %;37,71 %;30,00 %;50,18 %
e79a2cd492;9e614d5c16;100,00 %;18,62 %;37,76 %;80,00 %;51,16 %
b314c05d2c;5e8e9f7ada;100,00 %;0,00 %;42,50 %;0,00 %;42,77 %
10c9ed8349;7270c51e58;100,00 %;0,00 %;45,01 %;0,00 %;43,82 %
bf101d0ba7;69c0111988;100,00 %;27,93 %;37,07 %;100,00 %;54,68 %
d73d330ae0;53bd53553c;100,00 %;0,00 %;40,13 %;80,00 %;47,24 %
07a959bcf4;a141cecc59;100,00 %;80,25 %;38,38 %;100,00 %;69,02 %
6a525313c8;7b0219cc8b;100,00 %;27,93 %;42,51 %;0,00 %;50,14 %
906f82468b;1d10f9434f;100,00 %;27,93 %;40,60 %;100,00 %;56,16 %
93e1f97fbb;d4309c9eaf;100,00 %;27,93 %;39,63 %;0,00 %;48,93 %
6d38bac577;766e765a13;94,55 %;74,34 %;40,75 %;100,00 %;67,09 %
8b6601fe1c;4898b5b3d7;100,00 %;18,62 %;36,65 %;30,00 %;47,28 %
43d9c74e4f;b5be62d876;97,27 %;18,62 %;38,45 %;60,00 %;49,40 %
4bef8f35f4;adace00748;100,00 %;27,93 %;41,09 %;90,00 %;55,69 %
56c571531c;e479db5926;100,00 %;0,00 %;36,31 %;0,00 %;40,19 %
8cccb4c0b7;fae70b66f9;100,00 %;74,70 %;41,82 %;30,00 %;64,23 %
42cb0e25f1;45534ea9c7;100,00 %;81,27 %;41,55 %;30,00 %;65,85 %
fe7ee36687;f4d17a3160;100,00 %;27,93 %;42,43 %;;50,10 %
2dc4836ae9;5616fdd573;100,00 %;18,62 %;38,49 %;0,00 %;46,00 %
9eb76e0e5d;49d110ff54;80,91 %;72,07 %;40,55 %;60,00 %;60,28 %
2d778ba984;e4d6cea9df;100,00 %;0,00 %;42,51 %;30,00 %;44,82 %
7ef9920ea1;45ecd79e8e;100,00 %;80,49 %;41,83 %;100,00 %;70,53 %
2a5d422ae0;9ed6f4877a;100,00 %;0,00 %;37,76 %;30,00 %;42,84 %
0f0d2727de;68b9dba76f;100,00 %;0,00 %;40,21 %;0,00 %;41,82 %
2d753eed54;70061a8ce8;100,00 %;37,24 %;43,46 %;;52,99 %
65bc579726;1b7398a9e1;100,00 %;9,31 %;39,68 %;60,00 %;48,14 %
4f11cacf89;c88cec8016;100,00 %;27,93 %;36,02 %;90,00 %;53,57 %
1a69cece35;07ca1bed79;100,00 %;18,62 %;41,02 %;0,00 %;47,06 %
72277b0e71;afd55f56a6;100,00 %;27,93 %;39,09 %;30,00 %;50,75 %
9f3c749e1b;7d3d398612;100,00 %;78,17 %;38,17 %;30,00 %;63,62 %
f48e7921ef;7367ef2b0d;94,55 %;27,93 %;41,39 %;30,00 %;50,35 %
7f8795e033;50f233d584;100,00 %;27,93 %;42,55 %;0,00 %;50,16 %
57e0fe98bc;5c323c29c5;100,00 %;69,66 %;40,27 %;60,00 %;64,30 %
9f52ffb8df;66d3e62e9c;97,27 %;79,36 %;42,95 %;60,00 %;67,29 %
f23d638b64;f03014b352;100,00 %;0,00 %;45,01 %;0,00 %;43,82 %
bb40a4999d;62c3e39cd6;100,00 %;27,93 %;35,95 %;30,00 %;49,44 %
dc2ec2bdfb;8b292dbf52;100,00 %;18,62 %;42,66 %;0,00 %;47,75 %
376a071f15;01d302ad57;100,00 %;37,24 %;43,72 %;80,00 %;58,55 %
9a05214305;9ae7a50371;100,00 %;27,93 %;38,94 %;60,00 %;52,74 %
0d31a6e048;cc39712cf6;100,00 %;68,95 %;43,25 %;90,00 %;67,40 %
571c130b26;e232aa2ef5;100,00 %;18,62 %;42,11 %;0,00 %;47,52 %
f2ab28bac6;79be650920;100,00 %;0,00 %;39,32 %;30,00 %;43,49 %
e9b8ab8422;786913ab16;100,00 %;18,62 %;40,27 %;0,00 %;46,75 %
0117dab9a7;a454f6b23a;100,00 %;27,93 %;41,87 %;0,00 %;49,87 %
53c08e5412;7cc0573dee;100,00 %;80,04 %;39,49 %;100,00 %;69,43 %
b6382aa3e0;1a73859782;100,00 %;80,31 %;41,44 %;90,00 %;69,64 %
cc80726713;dafb6e9c88;100,00 %;0,00 %;40,76 %;0,00 %;42,04 %
481954fba1;76ffdc6755;100,00 %;27,93 %;40,81 %;60,00 %;53,52 %
e996c7a0f3;4ff5e2a7d1;100,00 %;0,00 %;41,06 %;0,00 %;42,17 %
870ce5532c;8429c56347;100,00 %;80,85 %;38,49 %;30,00 %;64,45 %
c24954baf7;9d074a9608;94,55 %;79,69 %;40,41 %;100,00 %;68,36 %
f80b0b1e56;2a7df9e704;100,00 %;81,38 %;39,74 %;100,00 %;69,89 %
05c68dcf71;7712301cf2;100,00 %;27,93 %;35,93 %;60,00 %;51,48 %
7d862f26ba;bf0ecb7f60;100,00 %;0,00 %;45,01 %;0,00 %;43,82 %
59db8dc9e1;527960147d;100,00 %;0,00 %;42,06 %;30,00 %;44,64 %
990d7f6740;579c5afcb2;100,00 %;0,00 %;41,10 %;0,00 %;42,19 %
b5573add31;e432160058;100,00 %;27,93 %;40,80 %;80,00 %;54,88 %
5ea05d9784;a99225984e;100,00 %;0,00 %;41,92 %;60,00 %;46,62 %
77a94c4bed;81e0684b3c;100,00 %;0,00 %;39,69 %;80,00 %;47,05 %
8a863c6d41;43c7541d3a;100,00 %;18,62 %;37,76 %;0,00 %;45,70 %
ea4f583df7;c39631367a;96,18 %;63,54 %;40,03 %;100,00 %;64,35 %
0525a590f0;0fbe39760a;100,00 %;18,62 %;39,45 %;100,00 %;53,23 %
c5808c166e;bdd67de61c;100,00 %;70,69 %;42,69 %;0,00 %;61,48 %
aaf8b6fba7;a868d0877b;100,00 %;18,62 %;40,93 %;30,00 %;49,07 %
14eac1c0f3;f86ca3981e;100,00 %;0,00 %;45,01 %;0,00 %;43,82 %
d767b4a6a1;48a453d4da;100,00 %;0,00 %;39,47 %;0,00 %;41,51 %
5282e70a51;12a05b85b8;100,00 %;0,00 %;42,61 %;60,00 %;46,91 %
d8a28b2993;630f8f8e0f;100,00 %;60,77 %;41,57 %;30,00 %;60,45 %
d087fa4cf6;983be717ce;100,00 %;0,00 %;39,79 %;0,00 %;41,64 %
79ee7a4946;2accecd352;100,00 %;0,00 %;39,67 %;0,00 %;41,59 %
ad06814859;47d820f084;100,00 %;0,00 %;41,22 %;0,00 %;42,24 %
b6136e1f8b;adf6eb6101;100,00 %;0,00 %;41,39 %;0,00 %;42,31 %
77efb31f85;2b216e8424;100,00 %;0,00 %;39,79 %;30,00 %;43,69 %
af313dc9f2;322d51bea7;100,00 %;0,00 %;44,20 %;60,00 %;47,58 %
9a22af2612;e456782bb3;100,00 %;0,00 %;41,13 %;0,00 %;42,20 %
0cff5ddc27;baa66ff9da;100,00 %;0,00 %;42,42 %;0,00 %;42,74 %
